timestamp,asks,bids,combined_orders
1701626400000,1256210036,1330044272,2586254308
1701648000000,1193584387,1334877420,2528461807
1701669600000,1208066085,1315049790,2523115875
1701691200000,1197417989,1282370390,2479788379
1701712800000,1192784344,1232452881,2425237226
1701734400000,1202301458,1250479228,2452780686
1701756000000,1210496677,1305149222,2515645900
1701777600000,1158446031,1274313622,2432759653
1701799200000,1175664263,1153853300,2329517563
1701820800000,1215229484,1167466103,2382695588
1701842400000,1191456571,1147280232,2338736803
1701864000000,1282646191,1247546006,2530192198
1701885600000,1455290682,1361354664,2816645347
1701907200000,1467889780,1402963670,2870853451
1701928800000,1744425868,1470013112,3214438981
1701950400000,7006239245,3738105011,10744344256
1701972000000,1814570146,3719521508,5534091655
1701993600000,1706541145,2386176521,4092717666
1702015200000,1653494799,2362036822,4015531622
1702036800000,1775429688,2345769891,4121199580
1702058400000,2004318120,2393997987,4398316108
1702080000000,1780227221,2382031918,4162259139
1702101600000,1884481144,2358341077,4242822222
1702123200000,1889029178,2448856296,4337885474
1702144800000,1894687337,2447286239,4341973577
1702166400000,1841697451,2338232434,4179929886
1702188000000,1869394095,2226426806,4095820902
1702209600000,1949421645,2266827014,4216248660
1702231200000,1984576163,2513871665,4498447829
1702252800000,1764614135,2104974910,3869589045
1702274400000,1762749538,1950572581,3713322119
1702296000000,1590265565,1894509812,3484775377
1702317600000,1434955946,1794881592,3229837538
1702339200000,1542816975,2356880384,3899697360
1702360800000,1548257421,2366042063,3914299484
1702382400000,1457464940,2315869706,3773334647
1702404000000,1507841071,2243864228,3751705299
1702425600000,1378424766,2267816272,3646241039
1702447200000,1404546904,2308742918,3713289823
1702468800000,1489870841,2329249144,3819119986
1702490400000,1575715506,2394913831,3970629338
1702512000000,1635573700,2415617379,4051191080
1702533600000,1641593372,2482427062,4124020434
1702555200000,1454134220,2384878344,3839012565
1702576800000,1506331354,2184052670,3690384024
1702598400000,1559904527,2115646624,3675551151
1702620000000,1543659126,2244095614,3787754740
1702641600000,3165451305,2025933059,5191384364
1702663200000,3204319094,2075505759,5279824853
1702684800000,3298635423,2085257470,5383892893
1702706400000,3352184581,2159502018,5511686599
1702728000000,8274333997,2106876509,10381210506
1702749600000,6638153563,2141404478,8779558042
1702771200000,15698474175,2085092941,17783567116
1702792800000,10684604419,2063026174,12747630594
1702814400000,2567362070,1901054297,4468416367
1702836000000,1618475217,2293661383,3912136601
1702857600000,1635000091,2455691535,4090691626
1702879200000,1650377096,2519903290,4170280386
1702900800000,1688579134,2496278067,4184857202
1702922400000,1671174267,2531419757,4202594024
1702944000000,1648139680,2582080329,4230220009
1702965600000,1687533522,2593511062,4281044585
1702987200000,1628803728,2635338393,4264142121
1703008800000,1599417750,2649648202,4249065953
1703030400000,1637459940,2645275473,4282735413
1703052000000,1634340326,2598782920,4233123246
1703073600000,1646786568,2621466476,4268253044
1703095200000,3053221136,2591085666,5644306802
1703116800000,6159718813,2661782142,8821500956
1703138400000,6176331519,2678206944,8854538464
1703160000000,3582411219,2526750903,6109162122
1703181600000,2128000216,2205679067,4333679284
1703203200000,2096810788,2295502477,4392313265
1703224800000,2007849433,2325447734,4333297167
1703246400000,2243183135,2085403453,4328586588
1703268000000,2121770474,1812691694,3934462169
1703289600000,2116167109,1835942069,3952109179
1703311200000,2176112790,1922528163,4098640953
1703332800000,2266234480,1934472548,4200707028
1703354400000,2294042351,1962617432,4256659783
1703376000000,2245767925,2031609906,4277377832
1703397600000,2113580357,2155066284,4268646641
1703419200000,2289350775,2228352364,4517703140
1703440800000,3679573415,2169998725,5849572141
1703462400000,2234371228,2176905056,4411276285
1703484000000,1969768762,2198726269,4168495031
1703505600000,1998382308,2242368039,4240750347
1703527200000,2046583054,2230108787,4276691842
1703548800000,1997870377,2197711053,4195581431
1703570400000,1879505021,2180798622,4060303643
1703592000000,1872286582,2106891410,3979177993
1703613600000,1750770622,2087712784,3838483406
1703635200000,1727307129,2120399267,3847706397
1703656800000,1695415272,2211751145,3907166417
1703678400000,1772234025,2268587592,4040821617
1703700000000,1641657022,2304891845,3946548867
1703721600000,1696696037,2311684767,4008380804
1703743200000,1698011774,2301739215,3999750989
1703764800000,1597830390,2051957096,3649787487
1703786400000,1317240079,1512598483,2829838563
1703808000000,1322332738,1459470793,2781803531
1703829600000,1532821307,1655503460,3188324768
1703851200000,1544456489,2237145260,3781601750
1703872800000,1522818522,2358149733,3880968255
1703894400000,1519199753,2367673849,3886873603
1703916000000,1541382750,2351445732,3892828483
1703937600000,1500452227,2359693212,3860145440
1703959200000,1584514844,2340533222,3925048066
1703980800000,1648029263,2304345952,3952375215
1704002400000,1832387656,2143589587,3975977243
1704024000000,2078867973,2028885235,4107753208
1704045600000,1748256256,2301109387,4049365643
1704067200000,1699719606,2303867366,4003586973
1704088800000,1633251448,2282942737,3916194186
1704110400000,1661819521,2318972468,3980791989
1704132000000,1732643062,2319092470,4051735532
1704153600000,1750058273,2290886459,4040944732
1704175200000,1911093208,2237952771,4149045980
1704196800000,1937880981,2216901186,4154782168
1704218400000,1667745785,2234506257,3902252042
1704240000000,1609943377,2261224107,3871167485
1704261600000,1741438121,2264167487,4005605608
1704283200000,1610731772,2107532786,3718264558
1704304800000,1463271325,2133053668,3596324993
1704326400000,1500597747,2147995823,3648593570
1704348000000,1856664776,2145056690,4001721467
1704369600000,1592229266,2287922609,3880151876
1704391200000,1625433702,2179581620,3805015322
1704412800000,1583487301,2124335404,3707822706
1704434400000,1660122964,2053278309,3713401273
1704456000000,1559328521,2082575251,3641903773
1704477600000,1612424926,2114116921,3726541847
1704499200000,1792153400,2183397303,3975550703
1704520800000,1913211992,2256999979,4170211971
1704542400000,1798039701,2292449122,4090488824
1704564000000,1758894350,2324054953,4082949303
1704585600000,1797252935,2290128000,4087380936
1704607200000,1806250990,2305192498,4111443489
1704628800000,1807815866,2346298236,4154114102
1704650400000,1873185329,2344446259,4217631588
1704672000000,1807586888,2319294483,4126881372
1704693600000,1797302183,2180389449,3977691633
1704715200000,1751308042,2132027383,3883335426
1704736800000,1787524801,2164120979,3951645780
1704758400000,1756306229,2209518432,3965824662
1704780000000,1857170708,2209668303,4066839012
1704801600000,1761333645,2138587714,3899921360
1704823200000,1791763321,2114093747,3905857069
1704844800000,1810481334,2147896364,3958377698
1704866400000,1756327325,2096203742,3852531067
1704888000000,1803723719,2021650975,3825374695
1704909600000,1807796439,1883113071,3690909511
1704931200000,1949572035,1808254275,3757826311
1704952800000,1825460648,1974853807,3800314455
1704974400000,2547621493,1909323055,4456944549
1704996000000,2301790370,2086775335,4388565706
1705017600000,1545445363,2063405213,3608850576
1705039200000,1822910185,1867579148,3690489333
1705060800000,2006950059,1692170499,3699120558
1705082400000,1646054077,1882352861,3528406939
1705104000000,1455246546,2068928197,3524174743
1705125600000,1550058235,2080735972,3630794208
1705147200000,1449402036,2052460236,3501862272
1705168800000,1434152557,2114687909,3548840467
1705190400000,1469358124,2106217141,3575575266
1705212000000,1484870567,2144049219,3628919786
1705233600000,1437486255,2186127510,3623613765
1705255200000,1364210604,2122443562,3486654167
1705276800000,1375342961,2080013531,3455356492
1705298400000,1402288774,2074876364,3477165138
1705320000000,1650861769,2156719194,3807580964
1705341600000,1451939098,2238879823,3690818921
1705363200000,1504719632,2219283658,3724003290
1705384800000,1502485336,2263320394,3765805731
1705406400000,1531077102,2196282348,3727359451
1705428000000,1604952542,2240855015,3845807558
1705449600000,1668252596,2243948362,3912200958
1705471200000,1734759357,2259709840,3994469197
1705492800000,1679421045,2201318600,3880739646
1705514400000,1699920010,2200049280,3899969291
1705536000000,1921479656,2180891441,4102371097
1705557600000,2004126221,2030777631,4034903852
1705579200000,1656956994,2049327579,3706284573
1705600800000,1605746486,2126810498,3732556985
1705622400000,1558954202,2064481637,3623435839
1705644000000,1520667112,2020899612,3541566725
1705665600000,1542509574,2045916560,3588426135
1705687200000,1476755917,1938801345,3415557262
1705708800000,1348248494,1932479052,3280727547
1705730400000,1434621092,2007133984,3441755077
1705752000000,1457883858,1978647608,3436531466
1705773600000,1392238582,1976044661,3368283243
1705795200000,1528607454,2042857085,3571464539
1705816800000,1628629992,2184055984,3812685976
1705838400000,1664220644,2337596090,4001816735
1705860000000,1671159711,2245895217,3917054928
1705881600000,1560285192,2356867246,3917152438
1705903200000,1440854738,2352175693,3793030432
1705924800000,1423987282,2482226637,3906213919
1705946400000,1697962425,2178673868,3876636293
1705968000000,1589709535,2123802314,3713511850
1705989600000,2103528280,2772077166,4875605446
1706011200000,2018635030,1953943901,3972578932
1706032800000,2001675745,2053154982,4054830727
1706054400000,1908285383,1995355822,3903641205
1706076000000,1832458405,2061231529,3893689934
1706097600000,1835756318,2035906754,3871663072
1706119200000,1654694830,2328809560,3983504391
1706140800000,1564681669,2291894231,3856575900
1706162400000,1527427217,2251950074,3779377292
1706184000000,1638632543,2141926163,3780558707
1706205600000,1749677741,2101588068,3851265810
1706227200000,1722373583,2133758355,3856131939
1706248800000,1652927598,2160623044,3813550642
1706270400000,1798341543,2076143603,3874485147
1706292000000,1756209316,2102956150,3859165466
1706313600000,1708947081,2143188476,3852135558
1706335200000,1710903485,2143845324,3854748810
1706356800000,1866923638,2079311370,3946235009
1706378400000,2054082326,2073551816,4127634142
1706400000000,1993966140,2151495049,4145461189
1706421600000,1746643479,2046402244,3793045723
1706443200000,1882140013,1954416155,3836556168
1706464800000,1664795181,1956296489,3621091671
1706486400000,1522238415,2095530977,3617769392
1706508000000,1769614942,1905237041,3674851984
1706529600000,1920899258,2054036351,3974935610
1706551200000,1794812190,2097810541,3892622732
1706572800000,1981543752,1881081046,3862624799
1706594400000,2006441523,1635071745,3641513268
1706616000000,1693217645,1798600504,3491818150
1706637600000,1507627173,2269928898,3777556072
1706659200000,1533127157,2157515646,3690642803
1706680800000,1534800041,2248046481,3782846523
1706702400000,1672511810,2292171632,3964683442
1706724000000,1563374564,2249935058,3813309622
1706745600000,1567491194,2418145861,3985637055
1706767200000,1535278510,2441740636,3977019147
1706788800000,1566247336,2353902679,3920150016
1706810400000,1541620743,2376096870,3917717613
1706832000000,1588793829,2418150925,4006944755
1706853600000,1950467039,2298484173,4248951213
1706875200000,2078387490,2202656636,4281044126
1706896800000,2065929294,2223394032,4289323327
1706918400000,2069371473,2198733414,4268104888
1706940000000,2209335032,2217834875,4427169907
1706961600000,2245964483,2190281636,4436246120
1706983200000,1974995616,2141402259,4116397875
1707004800000,2065321478,2170820339,4236141818
1707026400000,2061020633,2289743506,4350764139
1707048000000,2115558910,2232111008,4347669918
1707069600000,1973305417,2177079586,4150385004
1707091200000,1810194480,2356069604,4166264085
1707112800000,2059828927,2161146411,4220975339
1707134400000,1976643630,2257954788,4234598419
1707156000000,2252384354,2092361907,4344746262
1707177600000,1976230267,2231670219,4207900487
1707199200000,2030554873,2365513158,4396068031
1707220800000,2152723282,2208766151,4361489434
1707242400000,2096193374,2083074272,4179267647
1707264000000,1972893883,2093319377,4066213261
1707285600000,1951147569,2101944781,4053092351
1707307200000,2071070839,2064336818,4135407658
1707328800000,2372586072,2186252216,4558838288
1707350400000,2162684733,2305638801,4468323535
1707372000000,2108257747,2349437493,4457695240
1707393600000,2228674441,2230581417,4459255858
1707415200000,2010095070,2244081874,4254176944
1707436800000,1954496724,2204691150,4159187875
1707458400000,1941428462,2322712222,4264140684
1707480000000,1848620581,2316363193,4164983775
1707501600000,1947398992,2309326171,4256725164
1707523200000,1895163123,2261005449,4156168573
1707544800000,1827322948,2179816163,4007139112
1707566400000,2486298186,1911365058,4397663244
1707588000000,2320997936,1936338048,4257335984
1707609600000,1651379819,2341719252,3993099071
1707631200000,1709316730,2213345470,3922662201
1707652800000,1846878438,2239222862,4086101301
1707674400000,2463786934,2332598902,4796385837
1707696000000,2514509831,2274271073,4788780904
1707717600000,2315806818,2278233259,4594040078
1707739200000,1803228889,2256608516,4059837406
1707760800000,1834557583,2221276670,4055834253
1707782400000,1854514925,2268105377,4122620302
1707804000000,2251124246,2332303124,4583427371
1707825600000,2073294726,2214482405,4287777131
1707847200000,1895042968,2296260731,4191303699
1707868800000,1988025797,2354069002,4342094800
1707890400000,1961075756,2361579701,4322655457
1707912000000,1891177181,2339477774,4230654956
1707933600000,1966741845,2303009100,4269750945
1707955200000,1909973057,2422771915,4332744973
1707976800000,1924593992,2405015062,4329609054
1707998400000,2274925559,2530630540,4805556099
1708020000000,2734183549,2279157439,5013340988
1708041600000,2911574437,2442745319,5354319756
1708063200000,2711825695,2531036685,5242862380
1708084800000,2391097406,2555932680,4947030086
1708106400000,2114016277,2507974461,4621990739
1708128000000,2404160870,2439740399,4843901270
1708149600000,2461337159,2303327708,4764664867
1708171200000,2519557802,2471238215,4990796018
1708192800000,2689661215,2027875965,4717537181
1708214400000,2455855739,2393723354,4849579093
1708236000000,2200301320,2491885210,4692186530
1708257600000,2847805304,2546495978,5394301282
1708279200000,2279874258,2594773508,4874647766
1708300800000,2504306136,2442759999,4947066136
1708322400000,2297381787,2534764971,4832146758
1708344000000,2092621337,2716997521,4809618859
1708365600000,2196447009,2553572300,4750019310
1708387200000,2681337377,2492612320,5173949698
1708408800000,2260399505,2730164120,4990563626
1708430400000,2558115695,2495406759,5053522454
1708452000000,2606057298,2295783878,4901841177
1708473600000,2420755882,2651354366,5072110249
1708495200000,2202903119,2618202323,4821105443
1708516800000,2473071485,2060493042,4533564527
1708538400000,2872586014,2260206382,5132792396
1708560000000,2887057718,2260264985,5147322703
1708581600000,2370200976,2910831989,5281032965
1708603200000,2114377505,2707334133,4821711639
1708624800000,2044826974,2616378300,4661205275
1708646400000,2238107830,2542303018,4780410849
1708668000000,2134603688,2364188444,4498792132
1708689600000,2144813876,2401585380,4546399256
1708711200000,2214832272,2418593033,4633425305
1708732800000,2360028644,2398999848,4759028492
1708754400000,2391771064,2400965327,4792736391
1708776000000,2529888806,2459988561,4989877367
1708797600000,2748362181,2480435486,5228797668
1708819200000,2631009080,2376725565,5007734646
1708840800000,2476603737,2383863305,4860467042
1708862400000,2233190662,2390752148,4623942810
1708884000000,2095346799,2464766128,4560112927
1708905600000,2148575816,2466482370,4615058186
1708927200000,2403663445,2769512586,5173176031
1708948800000,2805838792,2796865823,5602704616
1708970400000,2619097552,2977124729,5596222281
1708992000000,3131577721,2735725213,5867302935
1709013600000,3257084613,2839595134,6096679748
1709035200000,3802220181,2495840860,6298061042
1709056800000,3586005626,2733964149,6319969775
1709078400000,3637006463,2577714343,6214720807
1709100000000,3364401077,2762077889,6126478966
1709121600000,3061481198,3087168631,6148649829
1709143200000,2844847300,3325673552,6170520852
1709164800000,3127225430,3295190065,6422415496
1709186400000,3351546496,3005042789,6356589285
1709208000000,3385715509,2938585076,6324300586
1709229600000,3126872679,2986851245,6113723925
1709251200000,3277514384,3092365448,6369879832
1709272800000,3172130032,3130809679,6302939712
1709294400000,2918442773,2782390476,5700833250
1709316000000,2472056597,3089990528,5562047125
1709337600000,2999880917,2878947796,5878828713
1709359200000,2159957730,4212980366,6372938097
